datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
01/01/2011 0:00,1,0,0,1,0.24,0.2879,0.81,0,16
01/01/2011 1:00,1,0,0,1,0.22,0.2727,0.8,0,40
01/01/2011 2:00,1,0,0,1,0.22,0.2727,0.8,0,32
01/01/2011 3:00,1,0,0,1,0.24,0.2879,0.75,0,13
01/01/2011 4:00,1,0,0,1,0.24,0.2879,0.75,0,1
01/01/2011 5:00,1,0,0,2,0.24,0.2576,0.75,0.0896,1
01/01/2011 6:00,1,0,0,1,0.22,0.2727,0.8,0,2
01/01/2011 7:00,1,0,0,1,0.2,0.2576,0.86,0,3
01/01/2011 8:00,1,0,0,1,0.24,0.2879,0.75,0,8
01/01/2011 9:00,1,0,0,1,0.32,0.3485,0.76,0,14
01/01/2011 10:00,1,0,0,1,0.38,0.3939,0.76,0.2537,36
01/01/2011 11:00,1,0,0,1,0.36,0.3333,0.81,0.2836,56
01/01/2011 12:00,1,0,0,1,0.42,0.4242,0.77,0.2836,84
01/01/2011 13:00,1,0,0,2,0.46,0.4545,0.72,0.2985,94
01/01/2011 14:00,1,0,0,2,0.46,0.4545,,0.2836,106
01/01/2011 15:00,1,0,0,2,0.44,0.4394,0.77,0.2985,110
01/01/2011 16:00,1,0,0,2,0.42,0.4242,0.82,0.2985,93
01/01/2011 17:00,1,0,0,2,0.44,0.4394,0.82,0.2836,67
01/01/2011 18:00,1,0,0,3,0.42,0.4242,0.88,0.2537,35
01/01/2011 19:00,1,0,0,3,0.42,0.4242,0.88,0.2537,37
01/01/2011 20:00,1,0,0,2,0.4,0.4091,0.87,0.2537,36
01/01/2011 21:00,1,0,0,2,0.4,0.4091,0.87,0.194,34
01/01/2011 22:00,1,0,0,2,0.4,0.4091,0.94,0.2239,28
01/01/2011 23:00,1,0,0,2,0.46,0.4545,0.88,0.2985,39
02/01/2011 0:00,1,0,0,2,0.46,0.4545,0.88,0.2985,17
02/01/2011 1:00,1,0,0,2,0.44,0.4394,0.94,0.2537,17
02/01/2011 2:00,1,0,0,2,0.42,0.4242,1,0.2836,9
02/01/2011 3:00,1,0,0,2,0.46,0.4545,0.94,0.194,6
02/01/2011 4:00,1,0,0,2,0.46,0.4545,0.94,0.194,3
02/01/2011 6:00,1,0,0,3,0.42,0.4242,0.77,0.2985,2
02/01/2011 7:00,1,0,0,2,0.4,0.4091,0.76,0.194,1
02/01/2011 8:00,1,0,0,3,0.4,0.4091,0.71,0.2239,8
02/01/2011 9:00,1,0,0,2,0.38,0.3939,0.76,0.2239,20
02/01/2011 10:00,1,0,0,2,0.36,0.3485,0.81,0.2239,53
02/01/2011 11:00,1,0,0,2,0.36,0.3333,0.71,0.2537,70
02/01/2011 12:00,1,0,0,2,0.36,0.3333,0.66,0.2985,93
02/01/2011 13:00,1,0,0,2,0.36,0.3485,0.66,0.1343,75
02/01/2011 14:00,1,0,0,3,0.36,0.3485,0.76,0.194,59
02/01/2011 15:00,1,0,0,3,0.34,0.3333,0.81,0.1642,74
02/01/2011 16:00,1,0,0,3,0.34,0.3333,0.71,0.1642,76
02/01/2011 17:00,1,0,0,1,0.34,0.3333,0.57,0.194,65
02/01/2011 18:00,1,0,0,2,0.36,0.3333,0.46,0.3284,53
02/01/2011 19:00,1,0,0,1,0.32,0.2879,0.42,0.4478,30
02/01/2011 20:00,1,0,0,1,0.3,0.2727,0.39,0.3582,22
02/01/2011 21:00,1,0,0,1,0.26,0.2273,0.44,0.3284,31
02/01/2011 22:00,1,0,0,1,0.24,0.2121,0.44,0.2985,9
02/01/2011 23:00,1,0,0,1,0.22,0.2273,0.47,0.1642,8
03/01/2011 0:00,1,0,1,1,0.22,0.197,0.44,0.3582,5
03/01/2011 1:00,1,0,1,1,0.2,0.1667,0.44,0.4179,2
03/01/2011 4:00,1,0,1,1,0.16,0.1364,0.47,0.3881,1
03/01/2011 5:00,1,0,1,1,0.16,0.1364,0.47,0.2836,3
03/01/2011 6:00,1,0,1,1,0.14,0.1061,0.5,0.3881,30
03/01/2011 7:00,1,0,1,1,0.14,0.1364,0.5,0.194,64
03/01/2011 8:00,1,0,1,1,0.14,0.1212,0.5,0.2836,154
03/01/2011 9:00,1,0,1,1,0.16,0.1364,0.43,0.3881,88
03/01/2011 10:00,1,0,1,1,0.18,0.1667,0.43,0.2537,44
03/01/2011 11:00,1,0,1,1,0.2,0.1818,,0.3284,51
03/01/2011 12:00,1,0,1,1,0.22,0.2121,0.35,0.2985,61
03/01/2011 13:00,1,0,1,1,0.24,0.2121,0.35,0.2836,61
03/01/2011 14:00,1,0,1,1,0.26,0.2424,0.3,0.2836,77
03/01/2011 15:00,1,0,1,1,0.26,0.2424,0.3,0.2537,72
03/01/2011 16:00,1,0,1,1,0.26,0.2424,0.3,0.2537,76
03/01/2011 17:00,1,0,1,1,0.24,0.2273,0.3,0.2239,157
03/01/2011 18:00,1,0,1,1,0.24,0.2576,0.32,0.1045,157
03/01/2011 19:00,1,0,1,1,0.2,0.2576,0.47,0,110
03/01/2011 20:00,1,0,1,1,0.2,0.2273,0.47,0.1045,52
03/01/2011 21:00,1,0,1,1,0.18,0.197,0.64,0.1343,52
03/01/2011 22:00,1,0,1,1,0.14,0.1515,0.69,0.1343,20
03/01/2011 23:00,1,0,1,1,0.18,0.2121,0.55,0.1045,12
04/01/2011 0:00,1,0,1,1,0.16,0.1818,0.55,0.1045,5
04/01/2011 1:00,1,0,1,1,0.16,0.1818,0.59,0.1045,2
04/01/2011 2:00,1,0,1,1,0.14,0.1515,0.63,0.1343,1
04/01/2011 4:00,1,0,1,1,0.14,0.1818,0.63,0.0896,2
04/01/2011 5:00,1,0,1,1,0.12,0.1515,0.68,0.1045,4
04/01/2011 6:00,1,0,1,1,0.12,0.1515,0.74,0.1045,36
04/01/2011 7:00,1,0,1,1,0.12,0.1515,0.74,0.1343,94
04/01/2011 8:00,1,0,1,1,0.14,0.1515,0.69,0.1642,179
04/01/2011 9:00,1,0,1,1,0.16,0.1515,0.64,0.2239,100
04/01/2011 10:00,1,0,1,2,0.16,0.1364,0.69,0.3284,42
04/01/2011 11:00,1,0,1,1,0.22,0.2121,0.51,0.2985,57
04/01/2011 12:00,1,0,1,1,0.22,0.2273,0.51,0.1642,78
04/01/2011 13:00,1,0,1,1,0.24,0.2273,0.56,0.194,97
04/01/2011 14:00,1,0,1,1,0.26,0.2576,0.52,0.2239,63
04/01/2011 15:00,1,0,1,1,0.28,0.2727,0.52,0.2537,65
04/01/2011 16:00,1,0,1,1,0.3,0.2879,0.49,0.2537,83
04/01/2011 17:00,1,0,1,1,0.28,0.2727,0.48,0.2239,212
04/01/2011 18:00,1,0,1,1,0.26,0.2576,0.48,0.194,182
04/01/2011 19:00,1,0,1,1,0.24,0.2576,0.48,0.1045,112
04/01/2011 20:00,1,0,1,1,0.24,0.2576,0.48,0.1045,54
04/01/2011 21:00,1,0,1,1,0.22,0.2727,0.64,0,48
04/01/2011 22:00,1,0,1,1,0.22,0.2576,0.64,0.0896,35
04/01/2011 23:00,1,0,1,1,0.2,0.2273,0.69,0.0896,11
05/01/2011 0:00,1,0,1,1,0.2,0.2576,0.64,0,6
05/01/2011 1:00,1,0,1,1,0.16,0.197,,0.0896,6
05/01/2011 2:00,1,0,1,1,0.16,0.197,0.74,0.0896,2
05/01/2011 4:00,1,0,1,1,0.24,0.2273,0.48,0.2239,2
05/01/2011 5:00,1,0,1,1,0.22,0.2273,0.47,0.1642,3
05/01/2011 6:00,1,0,1,1,0.2,0.197,0.47,0.2239,33
05/01/2011 7:00,1,0,1,1,0.18,0.1818,0.43,0.194,88
05/01/2011 8:00,1,0,1,1,0.2,0.1818,0.4,0.2985,195
05/01/2011 9:00,1,0,1,1,0.22,0.197,0.37,0.3284,115
05/01/2011 10:00,1,0,1,1,0.22,0.197,0.37,0.3284,57
05/01/2011 11:00,1,0,1,1,0.26,0.2273,0.33,0.3284,46
05/01/2011 12:00,1,0,1,1,0.26,0.2273,0.33,0.3284,79
05/01/2011 13:00,1,0,1,1,0.28,0.2576,0.3,0.2985,71
05/01/2011 14:00,1,0,1,1,0.3,0.2879,0.28,0.194,62
05/01/2011 15:00,1,0,1,1,0.3,0.2879,0.28,0.194,62
05/01/2011 16:00,1,0,1,1,0.3,0.3182,0.28,0.0896,89
05/01/2011 17:00,1,0,1,1,0.24,0.2273,0.38,0.194,190
05/01/2011 18:00,1,0,1,1,0.24,0.2424,0.38,0.1343,169
05/01/2011 19:00,1,0,1,1,0.24,0.2576,0.38,0.1045,132
05/01/2011 20:00,1,0,1,1,0.22,0.2273,0.47,0.1642,89
05/01/2011 21:00,1,0,1,1,0.2,0.197,0.51,0.194,43
05/01/2011 22:00,1,0,1,1,0.18,0.197,0.55,0.1343,42
05/01/2011 23:00,1,0,1,1,0.2,0.2576,0.47,0,19
