datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,day,month,year,hour,dow,woy,pred_count
2012-12-24 00:00:00,1,0,1,1,0.22,0.2727,0.69,0.0,24,12,2012,0,0,52,16
2012-12-24 01:00:00,1,0,1,1,0.22,0.2727,0.69,0.0,24,12,2012,1,0,52,9
2012-12-24 02:00:00,1,0,1,1,0.2,0.2576,0.75,0.0,24,12,2012,2,0,52,4
2012-12-24 03:00:00,1,0,1,1,0.2,0.2576,0.75,0.0,24,12,2012,3,0,52,3
2012-12-24 05:00:00,1,0,1,1,0.18,0.197,0.8,0.1343,24,12,2012,5,0,52,12
2012-12-24 06:00:00,1,0,1,1,0.2,0.2576,0.75,0.0,24,12,2012,6,0,52,50
2012-12-24 07:00:00,1,0,1,1,0.2,0.2576,0.69,0.0,24,12,2012,7,0,52,170
2012-12-24 08:00:00,1,0,1,1,0.22,0.2727,0.69,0.0,24,12,2012,8,0,52,343
2012-12-24 09:00:00,1,0,1,2,0.24,0.2576,0.65,0.1045,24,12,2012,9,0,52,197
2012-12-24 10:00:00,1,0,1,2,0.26,0.303,0.65,0.0,24,12,2012,10,0,52,138
2012-12-24 11:00:00,1,0,1,2,0.26,0.2576,0.6,0.1642,24,12,2012,11,0,52,132
2012-12-24 12:00:00,1,0,1,2,0.28,0.303,0.56,0.0896,24,12,2012,12,0,52,149
2012-12-24 13:00:00,1,0,1,1,0.24,0.2576,0.81,0.1045,24,12,2012,13,0,52,110
2012-12-24 14:00:00,1,0,1,1,0.24,0.2576,0.87,0.1045,24,12,2012,14,0,52,108
2012-12-24 15:00:00,1,0,1,1,0.24,0.2273,0.87,0.2239,24,12,2012,15,0,52,104
2012-12-24 16:00:00,1,0,1,1,0.24,0.2273,0.87,0.2239,24,12,2012,16,0,52,111
2012-12-24 17:00:00,1,0,1,1,0.24,0.2424,0.93,0.1642,24,12,2012,17,0,52,200
2012-12-24 18:00:00,1,0,1,1,0.24,0.2576,0.93,0.1045,24,12,2012,18,0,52,196
2012-12-24 19:00:00,1,0,1,2,0.24,0.2424,0.93,0.1343,24,12,2012,19,0,52,152
2012-12-24 20:00:00,1,0,1,1,0.24,0.2424,0.93,0.1343,24,12,2012,20,0,52,104
2012-12-24 21:00:00,1,0,1,1,0.24,0.2576,0.93,0.0896,24,12,2012,21,0,52,89
2012-12-24 22:00:00,1,0,1,2,0.24,0.2879,0.93,0.0,24,12,2012,22,0,52,53
2012-12-24 23:00:00,1,0,1,2,0.24,0.2879,0.93,0.0,24,12,2012,23,0,52,34
2012-12-25 00:00:00,1,1,0,2,0.24,0.2576,0.93,0.0896,25,12,2012,0,1,52,24
2012-12-25 01:00:00,1,1,0,2,0.26,0.2576,0.87,0.1642,25,12,2012,1,1,52,19
2012-12-25 02:00:00,1,1,0,2,0.26,0.2576,0.87,0.1642,25,12,2012,2,1,52,17
2012-12-25 04:00:00,1,1,0,2,0.24,0.2576,0.87,0.0896,25,12,2012,4,1,52,3
2012-12-25 05:00:00,1,1,0,2,0.22,0.2273,0.93,0.1343,25,12,2012,5,1,52,4
2012-12-25 06:00:00,1,1,0,2,0.22,0.2273,0.93,0.1343,25,12,2012,6,1,52,6
2012-12-25 07:00:00,1,1,0,2,0.22,0.2273,0.93,0.1642,25,12,2012,7,1,52,23
2012-12-25 08:00:00,1,1,0,2,0.24,0.2879,0.87,0.0,25,12,2012,8,1,52,37
2012-12-25 09:00:00,1,1,0,2,0.24,0.2576,0.87,0.0,25,12,2012,9,1,52,82
2012-12-25 10:00:00,1,1,0,1,0.28,0.3182,0.81,0.0,25,12,2012,10,1,52,112
2012-12-25 11:00:00,1,1,0,1,0.3,0.3182,0.75,0.0896,25,12,2012,11,1,52,123
2012-12-25 12:00:00,1,1,0,1,0.32,0.3333,0.76,0.0896,25,12,2012,12,1,52,124
2012-12-25 13:00:00,1,1,0,1,0.4,0.4091,0.5,0.3284,25,12,2012,13,1,52,167
2012-12-25 14:00:00,1,1,0,1,0.38,0.3939,0.46,0.2985,25,12,2012,14,1,52,140
2012-12-25 15:00:00,1,1,0,1,0.36,0.3333,0.5,0.2537,25,12,2012,15,1,52,122
2012-12-25 16:00:00,1,1,0,2,0.36,0.3333,0.5,0.2537,25,12,2012,16,1,52,121
2012-12-25 17:00:00,1,1,0,2,0.32,0.303,0.57,0.2537,25,12,2012,17,1,52,100
2012-12-25 18:00:00,1,1,0,2,0.32,0.303,0.66,0.2537,25,12,2012,18,1,52,89
2012-12-25 19:00:00,1,1,0,2,0.32,0.303,0.66,0.2239,25,12,2012,19,1,52,81
2012-12-25 20:00:00,1,1,0,2,0.32,0.303,0.66,0.2836,25,12,2012,20,1,52,65
2012-12-25 21:00:00,1,1,0,2,0.3,0.2879,0.65,0.194,25,12,2012,21,1,52,62
2012-12-25 22:00:00,1,1,0,2,0.3,0.303,0.7,0.1642,25,12,2012,22,1,52,43
2012-12-25 23:00:00,1,1,0,2,0.28,0.2727,0.65,0.2537,25,12,2012,23,1,52,37
2012-12-26 00:00:00,1,0,1,2,0.28,0.2727,0.65,0.2537,26,12,2012,0,2,52,18
2012-12-26 01:00:00,1,0,1,2,0.26,0.2273,0.65,0.2985,26,12,2012,1,2,52,8
2012-12-26 02:00:00,1,0,1,2,0.26,0.2273,0.65,0.2985,26,12,2012,2,2,52,8
2012-12-26 03:00:00,1,0,1,2,0.24,0.2121,0.7,0.3582,26,12,2012,3,2,52,3
2012-12-26 04:00:00,1,0,1,1,0.22,0.197,0.69,0.3582,26,12,2012,4,2,52,2
2012-12-26 05:00:00,1,0,1,2,0.22,0.2121,0.69,0.2836,26,12,2012,5,2,52,11
2012-12-26 06:00:00,1,0,1,2,0.22,0.2121,0.69,0.2239,26,12,2012,6,2,52,53
2012-12-26 07:00:00,1,0,1,2,0.2,0.1818,0.86,0.3284,26,12,2012,7,2,52,144
2012-12-26 08:00:00,1,0,1,2,0.2,0.1818,0.86,0.3284,26,12,2012,8,2,52,218
2012-12-26 09:00:00,1,0,1,2,0.2,0.1818,0.86,0.3284,26,12,2012,9,2,52,132
2012-12-26 10:00:00,1,0,1,2,0.2,0.1818,0.86,0.2985,26,12,2012,10,2,52,49
2012-12-26 11:00:00,1,0,1,2,0.2,0.1667,0.86,0.4627,26,12,2012,11,2,52,50
2012-12-26 12:00:00,1,0,1,2,0.22,0.197,0.87,0.3284,26,12,2012,12,2,52,60
2012-12-26 13:00:00,1,0,1,2,0.22,0.197,0.87,0.3284,26,12,2012,13,2,52,59
2012-12-26 14:00:00,1,0,1,2,0.22,0.2121,0.93,0.2537,26,12,2012,14,2,52,63
2012-12-26 15:00:00,1,0,1,2,0.26,0.2273,0.87,0.3582,26,12,2012,15,2,52,157
2012-12-26 16:00:00,1,0,1,2,0.26,0.2273,0.87,0.3582,26,12,2012,16,2,52,173
2012-12-26 17:00:00,1,0,1,2,0.26,0.2273,0.93,0.3582,26,12,2012,17,2,52,243
2012-12-26 18:00:00,1,0,1,2,0.28,0.2576,0.93,0.2985,26,12,2012,18,2,52,205
2012-12-26 19:00:00,1,0,1,2,0.3,0.2879,0.87,0.194,26,12,2012,19,2,52,148
2012-12-26 20:00:00,1,0,1,2,0.32,0.303,0.93,0.2537,26,12,2012,20,2,52,84
2012-12-26 21:00:00,1,0,1,2,0.3,0.2727,0.87,0.2985,26,12,2012,21,2,52,65
2012-12-26 22:00:00,1,0,1,2,0.24,0.197,0.93,0.4478,26,12,2012,22,2,52,58
2012-12-26 23:00:00,1,0,1,2,0.26,0.2273,0.87,0.2985,26,12,2012,23,2,52,38
2012-12-27 00:00:00,1,0,1,2,0.26,0.2273,0.87,0.2985,27,12,2012,0,3,52,19
2012-12-27 01:00:00,1,0,1,2,0.24,0.197,0.93,0.4478,27,12,2012,1,3,52,7
2012-12-27 02:00:00,1,0,1,2,0.24,0.197,0.87,0.4478,27,12,2012,2,3,52,8
2012-12-27 03:00:00,1,0,1,2,0.24,0.2273,0.87,0.2239,27,12,2012,3,3,52,3
2012-12-27 04:00:00,1,0,1,2,0.24,0.2121,0.87,0.3284,27,12,2012,4,3,52,2
2012-12-27 05:00:00,1,0,1,1,0.24,0.2424,0.75,0.1642,27,12,2012,5,3,52,12
2012-12-27 06:00:00,1,0,1,1,0.24,0.197,0.7,0.4925,27,12,2012,6,3,52,51
2012-12-27 07:00:00,1,0,1,1,0.24,0.2273,0.7,0.2239,27,12,2012,7,3,52,153
2012-12-27 08:00:00,1,0,1,1,0.26,0.2273,0.65,0.3582,27,12,2012,8,3,52,313
2012-12-27 09:00:00,1,0,1,1,0.26,0.2121,0.6,0.4925,27,12,2012,9,3,52,170
2012-12-27 10:00:00,1,0,1,1,0.28,0.2273,0.56,0.5224,27,12,2012,10,3,52,141
2012-12-27 11:00:00,1,0,1,2,0.28,0.2424,0.56,0.4478,27,12,2012,11,3,52,147
2012-12-27 12:00:00,1,0,1,1,0.3,0.2727,0.49,0.4627,27,12,2012,12,3,52,149
2012-12-27 13:00:00,1,0,1,1,0.3,0.2727,0.49,0.4627,27,12,2012,13,3,52,150
2012-12-27 14:00:00,1,0,1,2,0.26,0.2121,0.56,0.5224,27,12,2012,14,3,52,160
2012-12-27 15:00:00,1,0,1,2,0.26,0.2121,0.56,0.4478,27,12,2012,15,3,52,158
2012-12-27 16:00:00,1,0,1,2,0.26,0.2424,0.52,0.2836,27,12,2012,16,3,52,148
2012-12-27 17:00:00,1,0,1,2,0.26,0.2424,0.52,0.2836,27,12,2012,17,3,52,231
2012-12-27 18:00:00,1,0,1,2,0.24,0.2273,0.6,0.2537,27,12,2012,18,3,52,171
2012-12-27 19:00:00,1,0,1,1,0.24,0.2121,0.6,0.2836,27,12,2012,19,3,52,144
2012-12-27 20:00:00,1,0,1,1,0.24,0.2424,0.6,0.1642,27,12,2012,20,3,52,86
2012-12-27 21:00:00,1,0,1,2,0.24,0.2273,0.6,0.2537,27,12,2012,21,3,52,65
2012-12-27 22:00:00,1,0,1,2,0.24,0.2121,0.6,0.2836,27,12,2012,22,3,52,58
2012-12-27 23:00:00,1,0,1,2,0.24,0.2273,0.6,0.2537,27,12,2012,23,3,52,37
2012-12-28 00:00:00,1,0,1,2,0.24,0.2424,0.6,0.1642,28,12,2012,0,4,52,22
2012-12-28 01:00:00,1,0,1,1,0.24,0.2273,0.6,0.194,28,12,2012,1,4,52,9
2012-12-28 02:00:00,1,0,1,1,0.24,0.2273,0.6,0.2537,28,12,2012,2,4,52,6
2012-12-28 03:00:00,1,0,1,2,0.24,0.2424,0.6,0.1642,28,12,2012,3,4,52,3
2012-12-28 04:00:00,1,0,1,2,0.24,0.2576,0.6,0.1045,28,12,2012,4,4,52,2
2012-12-28 05:00:00,1,0,1,2,0.24,0.2576,0.6,0.0896,28,12,2012,5,4,52,12
2012-12-28 06:00:00,1,0,1,1,0.22,0.2121,0.64,0.2836,28,12,2012,6,4,52,51
2012-12-28 07:00:00,1,0,1,1,0.22,0.2273,0.64,0.1642,28,12,2012,7,4,52,175
