,day_count
0,0
1,969
2,1753
3,3097
4,4654
5,6248
6,7843
7,9336
8,10270
9,11067
10,12383
11,13634
12,14789
13,16188
14,17595
15,18815
16,19980
17,20963
18,21643
19,23290
20,25204
21,26726
22,27694
23,28658
24,30067
25,32043
26,32532
27,32939
28,34097
29,35167
30,36230
31,37724
32,39076
33,40600
34,42138
35,43833
36,44799
37,46383
38,48080
39,49600
40,51188
41,52710
42,54442
43,55884
44,57434
45,59336
46,61132
47,63232
48,65690
49,68585
50,70191
51,71986
52,73056
53,74499
54,76410
55,78206
56,79658
57,81599
58,83967
59,85383
60,87227
61,89353
62,91025
63,92957
64,95015
65,95568
66,97436
67,99559
68,101441
69,102061
70,104032
71,106130
72,108509
73,110544
74,112586
75,114770
76,117491
77,120701
78,123742
79,126173
80,128237
81,130929
82,133039
83,134893
84,137085
85,139553
86,141215
87,143231
88,145640
89,147165
90,148847
91,151068
92,153288
93,156498
94,159607
95,161380
96,164173
97,167294
98,168740
99,171164
100,174006
101,177331
102,179341
103,181488
104,184734
105,187833
106,188585
107,192296
108,195686
109,198865
110,202776
111,206921
112,208571
113,212589
114,216684
115,220745
116,225118
117,228963
118,232967
119,237514
120,242720
121,245975
122,250199
123,254634
124,257240
125,261646
126,266198
127,270826
128,275059
129,279368
130,284153
131,288297
132,293117
133,297170
134,300477
135,304991
136,308911
137,313003
138,316835
139,321381
140,326250
141,331957
142,336486
143,340719
144,345176
145,350119
146,354751
147,359361
148,364025
149,368730
150,372725
151,376678
152,380618
153,385544
154,390788
155,396037
156,400830
157,405349
158,410162
159,414522
160,418390
161,422907
162,427756
163,432097
164,437089
165,441949
166,447077
167,450797
168,455617
169,460632
170,465287
171,469271
172,474073
173,478547
174,483288
175,488216
176,493302
177,498492
178,503168
179,507786
180,512975
181,518436
182,523730
183,528734
184,533239
185,539142
186,543752
187,548344
188,552901
189,556894
190,562109
191,566836
192,570887
193,575123
194,579419
195,584457
196,589915
197,595728
198,600905
199,605312
200,609802
201,614094
202,617836
203,621163
204,624347
205,627834
206,631640
207,636202
208,640813
209,645158
210,648947
211,653289
212,657478
213,661715
214,666531
215,670062
216,674621
217,679433
218,683594
219,687299
220,691595
221,696162
222,700905
223,705651
224,710491
225,714557
226,718287
227,722600
228,727294
229,731964
230,735713
231,739804
232,744867
233,748666
234,753384
235,759244
236,764336
237,767826
238,772436
239,773406
240,777739
241,782339
242,787516
243,792542
244,797606
245,802269
246,806666
247,811497
248,814751
249,817453
250,819436
251,821264
252,824792
253,830021
254,834959
255,839656
256,844393
257,849145
258,852767
259,857479
260,861882
261,866044
262,870546
263,874162
264,878487
265,883241
266,885584
267,890914
268,895751
269,900352
270,904435
271,908306
272,913105
273,918247
274,920546
275,923417
276,926971
277,931400
278,936183
279,940908
280,945826
281,951146
282,956528
283,961592
284,966125
285,968516
286,971414
287,975019
288,980130
289,985064
290,989597
291,994314
292,996704
293,1000873
294,1005127
295,1009339
296,1013632
297,1017787
298,1022444
299,1026306
300,1028939
301,1032642
302,1033250
303,1036527
304,1040173
305,1044220
306,1048387
307,1052330
308,1056333
309,1060207
310,1063781
311,1067801
312,1071988
313,1076084
314,1078993
315,1082295
316,1086298
317,1089942
318,1094398
319,1098571
320,1100357
321,1103386
322,1106748
323,1110358
324,1113785
325,1116533
326,1118126
327,1120676
328,1122148
329,1124911
330,1127932
331,1130957
332,1134808
333,1137700
334,1141289
335,1144996
336,1148898
337,1152437
338,1155839
339,1159626
340,1162192
341,1162864
342,1166165
343,1169751
344,1172864
345,1175533
346,1178823
347,1182329
348,1186047
349,1189706
350,1193211
351,1195888
352,1198248
353,1201634
354,1205363
355,1207998
356,1211039
357,1213239
358,1214227
359,1214975
360,1216281
361,1217431
362,1219723
363,1222118
364,1225087
365,1227528
366,1229774
367,1231686
368,1233909
369,1236268
370,1239526
371,1243599
372,1248041
373,1251375
374,1253736
375,1257320
376,1259469
377,1263563
378,1266735
379,1269184
380,1271436
381,1273709
382,1276632
383,1279991
384,1283267
385,1286403
386,1287680
387,1289605
388,1292018
389,1296332
390,1300571
391,1304621
392,1308039
393,1311993
394,1315140
395,1318754
396,1323248
397,1327796
398,1331526
399,1335639
400,1338385
401,1341271
402,1345034
403,1349386
404,1352165
405,1355969
406,1359757
407,1361873
408,1363381
409,1366794
410,1370702
411,1374849
412,1377831
413,1381951
414,1386183
415,1388798
416,1391886
417,1395651
418,1400400
419,1405420
420,1408861
421,1411532
422,1414851
423,1419144
424,1423497
425,1425299
426,1430278
427,1433426
428,1437470
429,1440821
430,1444137
431,1448085
432,1452986
433,1458322
434,1462837
435,1466878
436,1471720
437,1476994
438,1482815
439,1489088
440,1495220
441,1499541
442,1507277
443,1513062
444,1519192
445,1525256
446,1531453
447,1538283
448,1546550
449,1549766
450,1554682
451,1560207
452,1565299
453,1570967
454,1577052
455,1582452
456,1588595
457,1594569
458,1600488
459,1607227
460,1613622
461,1620034
462,1626433
463,1633196
464,1638280
465,1643828
466,1649720
467,1654552
