,date,day_count
0,0,0
1,2011-01-01,969
2,2011-02-01,784
3,2011-03-01,1344
4,2011-04-01,1557
5,2011-05-01,1594
6,2011-06-01,1595
7,2011-07-01,1493
8,2011-08-01,934
9,2011-09-01,797
10,2011-10-01,1316
11,2011-11-01,1251
12,2011-12-01,1155
13,2011-01-13,1399
14,2011-01-14,1407
15,2011-01-15,1220
16,2011-01-16,1165
17,2011-01-17,983
18,2011-01-18,680
19,2011-01-19,1647
20,2011-01-20,1914
21,2011-01-21,1522
22,2011-01-22,968
23,2011-01-23,964
24,2011-01-24,1409
25,2011-01-25,1976
26,2011-01-26,489
27,2011-01-27,407
28,2011-01-28,1158
29,2011-01-29,1070
30,2011-01-30,1063
31,2011-01-31,1494
32,2011-01-02,1352
33,2011-02-02,1524
34,2011-03-02,1538
35,2011-04-02,1695
36,2011-05-02,966
37,2011-06-02,1584
38,2011-07-02,1697
39,2011-08-02,1520
40,2011-09-02,1588
41,2011-10-02,1522
42,2011-11-02,1732
43,2011-12-02,1442
44,2011-02-13,1550
45,2011-02-14,1902
46,2011-02-15,1796
47,2011-02-16,2100
48,2011-02-17,2458
49,2011-02-18,2895
50,2011-02-19,1606
51,2011-02-20,1795
52,2011-02-21,1070
53,2011-02-22,1443
54,2011-02-23,1911
55,2011-02-24,1796
56,2011-02-25,1452
57,2011-02-26,1941
58,2011-02-27,2368
59,2011-02-28,1416
60,2011-01-03,1844
61,2011-02-03,2126
62,2011-03-03,1672
63,2011-04-03,1932
64,2011-05-03,2058
65,2011-06-03,553
66,2011-07-03,1868
67,2011-08-03,2123
68,2011-09-03,1882
69,2011-10-03,620
70,2011-11-03,1971
71,2011-12-03,2098
72,2011-03-13,2379
73,2011-03-14,2035
74,2011-03-15,2042
75,2011-03-16,2184
76,2011-03-17,2721
77,2011-03-18,3210
78,2011-03-19,3041
79,2011-03-20,2431
80,2011-03-21,2064
81,2011-03-22,2692
82,2011-03-23,2110
83,2011-03-24,1854
84,2011-03-25,2192
85,2011-03-26,2468
86,2011-03-27,1662
87,2011-03-28,2016
88,2011-03-29,2409
89,2011-03-30,1525
90,2011-03-31,1682
91,2011-01-04,2221
92,2011-02-04,2220
93,2011-03-04,3210
94,2011-04-04,3109
95,2011-05-04,1773
96,2011-06-04,2793
97,2011-07-04,3121
98,2011-08-04,1446
99,2011-09-04,2424
100,2011-10-04,2842
101,2011-11-04,3325
102,2011-12-04,2010
103,2011-04-13,2147
104,2011-04-14,3246
105,2011-04-15,3099
106,2011-04-16,752
107,2011-04-17,3711
108,2011-04-18,3390
109,2011-04-19,3179
110,2011-04-20,3911
111,2011-04-21,4145
112,2011-04-22,1650
113,2011-04-23,4018
114,2011-04-24,4095
115,2011-04-25,4061
116,2011-04-26,4373
117,2011-04-27,3845
118,2011-04-28,4004
119,2011-04-29,4547
120,2011-04-30,5206
121,2011-01-05,3255
122,2011-02-05,4224
123,2011-03-05,4435
124,2011-04-05,2606
125,2011-05-05,4406
126,2011-06-05,4552
127,2011-07-05,4628
128,2011-08-05,4233
129,2011-09-05,4309
130,2011-10-05,4785
131,2011-11-05,4144
132,2011-12-05,4820
133,2011-05-13,4053
134,2011-05-14,3307
135,2011-05-15,4514
136,2011-05-16,3920
137,2011-05-17,4092
138,2011-05-18,3832
139,2011-05-19,4546
140,2011-05-20,4869
141,2011-05-21,5707
142,2011-05-22,4529
143,2011-05-23,4233
144,2011-05-24,4457
145,2011-05-25,4943
146,2011-05-26,4632
147,2011-05-27,4610
148,2011-05-28,4664
149,2011-05-29,4705
150,2011-05-30,3995
151,2011-05-31,3953
152,2011-01-06,3940
153,2011-02-06,4926
154,2011-03-06,5244
155,2011-04-06,5249
156,2011-05-06,4793
157,2011-06-06,4519
158,2011-07-06,4813
159,2011-08-06,4360
160,2011-09-06,3868
161,2011-10-06,4517
162,2011-11-06,4849
163,2011-12-06,4341
164,2011-06-13,4992
165,2011-06-14,4860
166,2011-06-15,5128
167,2011-06-16,3720
168,2011-06-17,4820
169,2011-06-18,5015
170,2011-06-19,4655
171,2011-06-20,3984
172,2011-06-21,4802
173,2011-06-22,4474
174,2011-06-23,4741
175,2011-06-24,4928
176,2011-06-25,5086
177,2011-06-26,5190
178,2011-06-27,4676
179,2011-06-28,4618
180,2011-06-29,5189
181,2011-06-30,5461
182,2011-01-07,5294
183,2011-02-07,5004
184,2011-03-07,4505
185,2011-04-07,5903
186,2011-05-07,4610
187,2011-06-07,4592
188,2011-07-07,4557
189,2011-08-07,3993
190,2011-09-07,5215
191,2011-10-07,4727
192,2011-11-07,4051
193,2011-12-07,4236
194,2011-07-13,4296
195,2011-07-14,5038
196,2011-07-15,5458
197,2011-07-16,5813
198,2011-07-17,5177
199,2011-07-18,4407
200,2011-07-19,4490
201,2011-07-20,4292
202,2011-07-21,3742
203,2011-07-22,3327
204,2011-07-23,3184
205,2011-07-24,3487
206,2011-07-25,3806
207,2011-07-26,4562
208,2011-07-27,4611
209,2011-07-28,4345
210,2011-07-29,3789
211,2011-07-30,4342
212,2011-07-31,4189
213,2011-01-08,4237
214,2011-02-08,4816
215,2011-03-08,3531
216,2011-04-08,4559
217,2011-05-08,4812
218,2011-06-08,4161
219,2011-07-08,3705
220,2011-08-08,4296
221,2011-09-08,4567
222,2011-10-08,4743
223,2011-11-08,4746
224,2011-12-08,4840
225,2011-08-13,4066
226,2011-08-14,3730
227,2011-08-15,4313
228,2011-08-16,4694
229,2011-08-17,4670
230,2011-08-18,3749
231,2011-08-19,4091
232,2011-08-20,5063
233,2011-08-21,3799
234,2011-08-22,4718
235,2011-08-23,5860
236,2011-08-24,5092
237,2011-08-25,3490
238,2011-08-26,4610
239,2011-08-27,970
240,2011-08-28,4333
241,2011-08-29,4600
242,2011-08-30,5177
243,2011-08-31,5026
244,2011-01-09,5064
245,2011-02-09,4663
246,2011-03-09,4397
247,2011-04-09,4831
248,2011-05-09,3254
249,2011-06-09,2702
250,2011-07-09,1983
251,2011-08-09,1828
252,2011-09-09,3528
253,2011-10-09,5229
254,2011-11-09,4938
255,2011-12-09,4697
256,2011-09-13,4737
257,2011-09-14,4752
258,2011-09-15,3622
259,2011-09-16,4712
260,2011-09-17,4403
261,2011-09-18,4162
262,2011-09-19,4502
263,2011-09-20,3616
264,2011-09-21,4325
265,2011-09-22,4754
266,2011-09-23,2343
267,2011-09-24,5330
268,2011-09-25,4837
269,2011-09-26,4601
270,2011-09-27,4083
271,2011-09-28,3871
272,2011-09-29,4799
273,2011-09-30,5142
274,2011-01-10,2299
275,2011-02-10,2871
276,2011-03-10,3554
277,2011-04-10,4429
278,2011-05-10,4783
279,2011-06-10,4725
280,2011-07-10,4918
281,2011-08-10,5320
282,2011-09-10,5382
283,2011-10-10,5064
284,2011-11-10,4533
285,2011-12-10,2391
