datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
1/01/2011 0:00,1,0,0,1,0.24,0.2879,0.81,0,16
1/01/2011 1:00,1,0,0,1,0.22,0.2727,0.8,0,40
1/01/2011 2:00,1,0,0,1,0.22,0.2727,0.8,0,32
1/01/2011 3:00,1,0,0,1,0.24,0.2879,0.75,0,13
1/01/2011 4:00,1,0,0,1,0.24,0.2879,0.75,0,1
1/01/2011 5:00,1,0,0,2,0.24,0.2576,0.75,0.0896,1
1/01/2011 6:00,1,0,0,1,0.22,0.2727,0.8,0,2
1/01/2011 7:00,1,0,0,1,0.2,0.2576,0.86,0,3
1/01/2011 8:00,1,0,0,1,0.24,0.2879,0.75,0,8
1/01/2011 9:00,1,0,0,1,0.32,0.3485,0.76,0,14
1/01/2011 10:00,1,0,0,1,0.38,0.3939,0.76,0.2537,36
1/01/2011 11:00,1,0,0,1,0.36,0.3333,0.81,0.2836,56
1/01/2011 12:00,1,0,0,1,0.42,0.4242,0.77,0.2836,84
1/01/2011 13:00,1,0,0,2,0.46,0.4545,0.72,0.2985,94
1/01/2011 14:00,1,0,0,2,0.46,0.4545,,0.2836,106
1/01/2011 15:00,1,0,0,2,0.44,0.4394,0.77,0.2985,110
1/01/2011 16:00,1,0,0,2,0.42,0.4242,0.82,0.2985,93
1/01/2011 17:00,1,0,0,2,0.44,0.4394,0.82,0.2836,67
1/01/2011 18:00,1,0,0,3,0.42,0.4242,0.88,0.2537,35
1/01/2011 19:00,1,0,0,3,0.42,0.4242,0.88,0.2537,37
1/01/2011 20:00,1,0,0,2,0.4,0.4091,0.87,0.2537,36
1/01/2011 21:00,1,0,0,2,0.4,0.4091,0.87,0.194,34
1/01/2011 22:00,1,0,0,2,0.4,0.4091,0.94,0.2239,28
1/01/2011 23:00,1,0,0,2,0.46,0.4545,0.88,0.2985,39
2/01/2011 0:00,1,0,0,2,0.46,0.4545,0.88,0.2985,17
2/01/2011 1:00,1,0,0,2,0.44,0.4394,0.94,0.2537,17
2/01/2011 2:00,1,0,0,2,0.42,0.4242,1,0.2836,9
2/01/2011 3:00,1,0,0,2,0.46,0.4545,0.94,0.194,6
2/01/2011 4:00,1,0,0,2,0.46,0.4545,0.94,0.194,3
2/01/2011 6:00,1,0,0,3,0.42,0.4242,0.77,0.2985,2
2/01/2011 7:00,1,0,0,2,0.4,0.4091,0.76,0.194,1
2/01/2011 8:00,1,0,0,3,0.4,0.4091,0.71,0.2239,8
2/01/2011 9:00,1,0,0,2,0.38,0.3939,0.76,0.2239,20
2/01/2011 10:00,1,0,0,2,0.36,0.3485,0.81,0.2239,53
2/01/2011 11:00,1,0,0,2,0.36,0.3333,0.71,0.2537,70
2/01/2011 12:00,1,0,0,2,0.36,0.3333,0.66,0.2985,93
2/01/2011 13:00,1,0,0,2,0.36,0.3485,0.66,0.1343,75
